CarID,Listed_Date,Make,Model,Year,Vehicle_Type,Size,Color,Transmission,Fuel_Type,Drive,Cylinders,Odometer,Condition,Title_Status,State,Region
90375,2021-05-03T17:54:00-0700,lincoln,mark lt,2006,pickup,full-size,black,automatic,gas,4wd,8,100500,excellent,clean,ca,inland empire
664074,2021-04-16T10:24:01-0500,chevrolet,avalanche,2005,SUV,full-size,grey,automatic,gas,4wd,8,127000,excellent,clean,mo,southeast missouri
328881,2021-04-21T19:20:17-0400,gmc,terrain,2011,SUV,mid-size,silver,automatic,gas,fwd,4,166663,like new,clean,fl,sarasota-bradenton
801423,2021-04-24T05:54:46-0400,chrysler,200,2014,convertible,mid-size,white,automatic,gas,fwd,4,93150,excellent,clean,ny,buffalo
1261266,2021-04-27T14:13:22-0500,kia,sportage ex awd,2014,SUV,mid-size,grey,automatic,gas,4wd,4,120759,good,clean,wi,madison
328890,2021-04-21T19:15:21-0400,ford,fusion,2012,sedan,full-size,red,automatic,gas,fwd,4,65235,like new,clean,fl,sarasota-bradenton
682734,2021-05-02T21:28:51-0600,chevrolet,trailblazer,2002,SUV,mid-size,silver,automatic,gas,4wd,6,241277,good,clean,mt,kalispell
526398,2021-05-01T00:42:57-0500,chevrolet,suburban,2003,SUV,full-size,grey,automatic,gas,rwd,8,192000,good,clean,la,lafayette
1024137,2021-04-15T13:43:25-0400,subaru,outback 2.5 limited awd,2013,wagon,mid-size,grey,automatic,gas,4wd,4,79849,excellent,clean,pa,york
528222,2021-05-01T10:52:43-0500,toyota,fj cruiser,2007,SUV,mid-size,black,automatic,gas,rwd,6,249000,good,clean,la,new orleans
1244997,2021-05-03T05:32:07-0500,chevrolet,hhr,2008,mini-van,compact,blue,automatic,gas,fwd,4,114000,good,clean,wi,appleton-oshkosh-FDL
988290,2021-04-24T08:06:51-0400,ford,focus se,2010,sedan,compact,silver,automatic,gas,fwd,4,107000,excellent,clean,pa,harrisburg
992502,2021-04-09T18:00:57-0400,toyota,highlander,2001,SUV,mid-size,silver,automatic,gas,4wd,6,160973,good,clean,pa,lancaster
635721,2021-04-17T12:02:55-0500,ram,2500,2013,truck,full-size,silver,automatic,gas,4wd,8,105000,excellent,clean,mn,duluth / superior
146967,2021-05-01T10:50:54-0700,toyota,matrix xr hatchback,2003,hatchback,compact,blue,automatic,gas,fwd,4,202000,excellent,clean,ca,reno / tahoe
764997,2021-04-26T12:04:05-0400,volkswagen,golf gls manual,2002,sedan,compact,blue,manual,gas,fwd,4,74400,excellent,clean,nj,north jersey
768414,2021-05-04T16:44:44-0400,ford,expedition 4x4 eddie bauer,2007,SUV,full-size,white,automatic,gas,4wd,8,163340,excellent,clean,nj,south jersey
316575,2021-04-29T17:25:40-0400,chevrolet,3500 hd dually gas,2010,truck,full-size,white,automatic,gas,rwd,8,155000,excellent,clean,fl,orlando
1260423,2021-04-30T10:02:48-0500,chevrolet,silverado 2500hd,2011,truck,full-size,silver,automatic,diesel,4wd,8,122603,like new,clean,wi,madison
998271,2021-05-02T19:03:06-0400,honda,accord ex,2008,sedan,full-size,silver,automatic,gas,fwd,4,153000,good,clean,pa,philadelphia
691023,2021-04-26T08:41:50-0400,toyota,tacoma double cab 4wd v6,2011,truck,mid-size,black,automatic,gas,4wd,6,171858,excellent,clean,nc,asheville
1075026,2021-04-08T10:06:03-0500,ford,transit 150,2017,van,full-size,white,automatic,gas,rwd,6,141625,excellent,clean,tn,memphis
986481,2021-04-12T16:39:38-0400,honda,odyssey ex-l,2012,mini-van,full-size,silver,automatic,gas,fwd,6,126255,excellent,clean,pa,erie
661698,2021-04-30T10:41:26-0500,ford,explorer,2013,SUV,full-size,black,automatic,gas,fwd,6,113626,excellent,clean,mo,joplin
309111,2021-04-20T15:31:57-0400,gmc,sierra lt,2013,truck,full-size,silver,automatic,gas,rwd,8,110196,excellent,clean,fl,ocala
744027,2021-04-29T10:45:39-0700,kia,soul +,2010,hatchback,compact,black,automatic,gas,fwd,4,165438,good,clean,nv,las vegas
1199400,2021-04-13T09:48:53-0400,mercedes-benz,benz c320,2003,sedan,mid-size,silver,automatic,gas,rwd,6,107500,like new,clean,va,winchester
324672,2021-05-03T07:44:37-0400,honda,accord,2010,sedan,full-size,black,automatic,gas,fwd,4,68000,excellent,clean,fl,sarasota-bradenton
508062,2021-04-23T21:34:29-0500,toyota,rav4,2013,SUV,full-size,silver,automatic,gas,4wd,4,101277,good,clean,ks,wichita
321063,2021-04-24T09:00:31-0400,nissan,nv 1500 cargo van,2016,van,full-size,white,automatic,gas,rwd,6,93734,good,clean,fl,orlando
726537,2021-04-22T17:46:00-0400,toyota,avalon limited,2009,sedan,full-size,black,automatic,gas,fwd,6,88172,good,rebuilt,nc,raleigh / durham / CH
892221,2021-04-13T19:45:27-0400,bmw,4 series,2015,sedan,compact,red,automatic,gas,4wd,6,48710,excellent,clean,oh,columbus
497844,2021-04-27T10:09:26-0500,ford,f550 super duty,2007,pickup,full-size,white,automatic,diesel,4wd,8,218000,excellent,clean,ks,"kansas city, MO"
452634,2021-04-20T13:35:03-0400,gmc,envoy slt 4x4,2006,SUV,mid-size,silver,automatic,gas,4wd,6,177281,good,clean,in,fort wayne
1032696,2021-04-27T10:40:55-0400,ford,expedition king ranch,2006,SUV,full-size,white,automatic,gas,rwd,8,159846,excellent,clean,sc,charleston
456618,2021-04-23T12:37:39-0400,ford,super duty f-550 drw,2006,truck,full-size,red,automatic,diesel,4wd,8,59429,good,clean,in,indianapolis
986376,2021-04-13T22:29:05-0400,chrysler,town & country,2004,mini-van,full-size,silver,automatic,gas,fwd,6,209303,good,clean,pa,erie
581331,2021-04-30T19:32:59-0400,honda,civic,2006,coupe,compact,black,automatic,gas,fwd,4,190000,excellent,clean,mi,ann arbor
696624,2021-05-01T10:05:48-0400,fiat,500 pop,2012,coupe,compact,grey,automatic,gas,fwd,4,51645,excellent,clean,nc,charlotte
588330,2021-05-04T12:38:20-0400,ford,escape,2021,SUV,mid-size,black,automatic,gas,4wd,3,2022,excellent,clean,mi,detroit metro
25479,2021-05-03T11:28:45-0700,chevrolet,suburban 1500,1999,SUV,full-size,red,automatic,gas,4wd,8,156000,excellent,clean,az,flagstaff / sedona
411978,2021-04-30T11:12:11-0700,gmc,acadia slt-1,2017,SUV,mid-size,white,automatic,gas,4wd,6,112225,like new,clean,id,spokane / coeur d'alene
916890,2021-04-26T11:13:49-0500,jeep,wrangler,2017,SUV,full-size,grey,automatic,gas,4wd,6,34598,like new,clean,ok,oklahoma city
879282,2021-04-25T07:23:17-0400,honda,accord,2005,sedan,full-size,custom,automatic,gas,fwd,6,152474,excellent,clean,oh,cleveland
1237641,2021-04-27T10:43:55-0700,volkswagen,vanagon,1982,van,mid-size,yellow,manual,diesel,rwd,4,170000,good,clean,wa,yakima
788283,2021-05-02T16:35:12-0600,toyota,tacoma trd off-road,1998,pickup,compact,white,manual,gas,4wd,6,62000,excellent,clean,nm,santa fe / taos
758784,2021-04-12T21:30:30-0400,chevrolet,express 3500 cutaway,2005,truck,full-size,white,automatic,gas,rwd,8,999999,good,clean,nj,jersey shore
825612,2021-05-04T10:01:57-0400,ford,f-350,2002,truck,full-size,blue,automatic,diesel,4wd,8,127000,good,clean,ny,new york city
1135107,2021-05-04T14:31:18-0500,chevrolet,equinox,2018,SUV,compact,silver,automatic,gas,fwd,4,149104,like new,clean,tx,mcallen / edinburg
245232,2021-05-03T13:54:27-0600,subaru,forester awd,2015,SUV,mid-size,red,automatic,gas,4wd,4,91736,excellent,clean,co,western slope
901587,2021-04-16T17:46:37-0400,honda,accord,2017,sedan,full-size,blue,automatic,gas,fwd,4,65930,good,rebuilt,oh,mansfield
447987,2021-04-22T14:41:14-0500,ford,transit connect xlt,2013,van,mid-size,white,automatic,gas,fwd,4,112447,good,clean,il,"st louis, MO"
813552,2021-04-09T11:50:30-0400,bmw,328i,2011,sedan,full-size,blue,automatic,gas,4wd,6,187265,excellent,clean,ny,hudson valley
171186,2021-04-30T08:29:27-0700,volkswagen,passat se,2013,sedan,mid-size,black,automatic,gas,fwd,5,83129,good,clean,ca,san diego
250917,2021-05-03T06:02:55-0400,buick,lacrosse premium ii,2014,sedan,full-size,grey,automatic,gas,fwd,6,116593,excellent,clean,ct,hartford
39906,2021-04-13T15:14:13-0700,cadillac,deville,1993,sedan,mid-size,blue,automatic,gas,fwd,8,170000,good,clean,az,prescott
265281,2021-05-03T15:51:34-0400,dodge,grand caravan,2015,mini-van,full-size,black,automatic,gas,fwd,6,103506,good,clean,dc,"washington, DC"
1162200,2021-04-26T17:10:06-0400,chevrolet,equinox lt,2015,SUV,mid-size,black,automatic,gas,4wd,4,130113,excellent,clean,vt,vermont
825351,2021-05-04T11:34:19-0400,audi,a6,2016,sedan,mid-size,grey,automatic,gas,4wd,6,61950,excellent,clean,ny,new york city
848109,2021-04-19T15:35:01-0400,chevrolet,silverado 1500,2011,truck,full-size,black,automatic,gas,4wd,8,145000,good,clean,ny,watertown
751770,2021-04-26T09:45:15-0400,chevrolet,express,2017,van,mid-size,white,automatic,gas,rwd,6,138700,good,clean,nj,central NJ
889158,2021-04-24T08:15:27-0400,bmw,5-series,2007,sedan,mid-size,black,automatic,gas,rwd,10,106123,excellent,clean,oh,columbus
818700,2021-04-29T09:00:15-0400,toyota,camry,2014,sedan,mid-size,grey,automatic,gas,fwd,4,64830,excellent,clean,ny,long island
16602,2021-04-29T16:11:56-0800,nissan,rogue sv,2019,SUV,mid-size,silver,automatic,gas,4wd,4,19291,excellent,lien,ak,anchorage / mat-su
630756,2021-04-30T11:19:17-0400,ford,f-350,2004,truck,full-size,black,automatic,gas,4wd,8,70000,like new,clean,mi,upper peninsula
64602,2021-04-30T11:18:58-0700,ford,focus,2009,sedan,compact,blue,automatic,gas,fwd,4,139011,excellent,clean,ca,bakersfield
658986,2021-04-26T14:45:09-0500,ford,f250 super duty,2015,truck,full-size,white,automatic,gas,4wd,8,188000,like new,clean,mo,columbia / jeff city
12246,2021-04-21T15:12:52-0500,ford,econoline cargo van,2004,van,full-size,blue,automatic,gas,rwd,8,213500,good,clean,al,mobile
945336,2021-04-26T17:58:40-0700,chevrolet,corvette,2002,coupe,full-size,silver,automatic,gas,rwd,8,50000,excellent,clean,or,east oregon
168006,2021-05-01T12:54:31-0700,mercedes-benz,gl-class gl 350,2011,SUV,full-size,blue,automatic,gas,4wd,6,164000,excellent,clean,ca,san diego
206874,2021-04-06T14:22:38-0700,mazda,5,2008,mini-van,mid-size,green,automatic,gas,fwd,4,104000,excellent,clean,ca,ventura county
143352,2021-04-12T13:59:37-0700,mitsubishi,outlander sport,2013,SUV,full-size,blue,automatic,gas,fwd,4,137122,excellent,clean,ca,redding
1261173,2021-04-27T19:11:15-0500,mini,cooper s,2009,hatchback,compact,blue,automatic,gas,fwd,4,89200,good,clean,wi,madison
260250,2021-04-23T07:27:26-0400,mercedes-benz,benz slk230 kompressor,2002,convertible,compact,blue,automatic,gas,rwd,4,69000,excellent,clean,ct,new haven
205896,2021-04-10T10:28:26-0700,gmc,yukon slt,1999,SUV,mid-size,custom,automatic,gas,rwd,8,195000,excellent,clean,ca,ventura county
624249,2021-04-09T14:34:47-0400,gmc,sierra 2500hd,2014,truck,full-size,white,automatic,diesel,4wd,8,178800,good,clean,mi,northern michigan
879414,2021-04-24T12:02:13-0400,ford,f350 super duty 4x4,1999,pickup,full-size,black,automatic,gas,4wd,10,122000,excellent,clean,oh,cleveland
842739,2021-04-24T10:47:56-0400,jeep,grand cherokee laredo,2012,SUV,full-size,brown,automatic,gas,4wd,6,130519,excellent,clean,ny,syracuse
902322,2021-04-23T14:10:02-0400,ford,super duty f-550 drw,2006,truck,full-size,red,automatic,diesel,4wd,8,59429,good,clean,oh,northern panhandle
1019055,2021-04-23T13:49:59-0400,chevrolet,express cargo van,2006,truck,full-size,white,automatic,gas,rwd,8,73360,good,clean,pa,scranton / wilkes-barre
571068,2021-04-25T13:04:57-0400,ford,explorer,2013,SUV,full-size,orange,automatic,gas,4wd,8,118000,good,clean,ma,western massachusetts
543228,2021-05-04T10:07:35-0400,honda,accord ex,2008,sedan,full-size,white,automatic,gas,fwd,4,150000,excellent,clean,md,baltimore
655503,2021-04-30T16:31:03-0500,toyota,highlander se awd,2008,SUV,mid-size,white,automatic,gas,4wd,6,163504,excellent,clean,ms,jackson
538716,2021-04-22T17:28:56-0400,chevrolet,cruze lt,2016,sedan,full-size,grey,automatic,gas,fwd,4,94000,excellent,clean,me,maine
1250733,2021-04-06T15:59:43-0500,ford,f550 super duty,1999,truck,full-size,white,automatic,diesel,rwd,8,192000,good,clean,wi,eau claire
1030044,2021-04-13T11:54:43-0400,honda,cr-v ex,2010,SUV,full-size,black,automatic,gas,4wd,4,152000,like new,clean,ri,rhode island
1131921,2021-04-13T16:17:12-0500,toyota,highlander limited,2017,SUV,full-size,white,automatic,gas,rwd,6,46500,like new,clean,tx,killeen / temple / ft hood
1011582,2021-04-21T17:53:40-0400,ford,fusion sel,2009,sedan,full-size,black,automatic,gas,fwd,4,122000,like new,clean,pa,pittsburgh
306339,2021-05-04T15:11:52-0400,cadillac,srx,2014,SUV,full-size,brown,automatic,gas,fwd,6,36372,excellent,clean,fl,ocala
1065366,2021-04-24T12:14:53-0400,nissan,sentra,2006,sedan,compact,grey,automatic,gas,fwd,4,140000,excellent,clean,tn,knoxville
693675,2021-04-05T08:25:56-0400,toyota,tacoma access cab 4wd sr5,2011,truck,mid-size,grey,automatic,gas,4wd,4,140952,excellent,clean,nc,asheville
151569,2021-04-23T18:55:01-0700,ford,flex,2013,SUV,mid-size,silver,automatic,gas,4wd,6,109597,like new,rebuilt,ca,reno / tahoe
547428,2021-04-21T17:16:26-0400,honda,accord,2014,sedan,full-size,white,automatic,gas,fwd,4,57210,good,clean,md,baltimore
886509,2021-05-01T14:18:17-0400,honda,civic,2009,coupe,compact,grey,automatic,gas,fwd,4,165300,excellent,clean,oh,columbus
1129167,2021-04-30T10:47:30-0500,chrysler,200s sedan 4d,2015,sedan,sub-compact,grey,automatic,gas,fwd,4,23145,like new,clean,tx,houston
29523,2021-05-04T11:59:45-0700,ram,1500 ecodiesel,2015,truck,full-size,black,automatic,diesel,4wd,6,123745,like new,clean,az,phoenix
401583,2021-04-23T12:51:39-0600,ford,flex sel awd,2014,SUV,mid-size,red,automatic,gas,4wd,6,84787,like new,clean,id,east idaho
1029,2021-05-01T10:59:24-0500,nissan,altima 3.5 sl,2005,sedan,mid-size,brown,automatic,gas,fwd,6,53320,excellent,clean,al,birmingham
413715,2021-04-28T19:52:28-0700,mazda,b2600,1993,pickup,mid-size,red,manual,gas,rwd,4,198000,good,clean,id,spokane / coeur d'alene
452337,2021-04-24T13:58:58-0400,subaru,forester 2.5x limited,2010,wagon,mid-size,red,automatic,gas,4wd,4,199876,good,clean,in,fort wayne
813996,2021-04-06T12:40:22-0400,gmc,sierra 1500,2009,truck,full-size,custom,automatic,gas,4wd,8,140110,good,clean,ny,hudson valley
1225689,2021-05-04T07:30:20-0700,lexus,es 350,2013,sedan,full-size,white,automatic,gas,fwd,6,79330,excellent,clean,wa,seattle-tacoma
1195290,2021-04-22T14:29:11-0400,buick,enclave,2008,SUV,full-size,brown,automatic,gas,4wd,6,158663,excellent,clean,va,roanoke
286041,2021-04-22T17:30:14-0400,kia,soul,2015,sedan,mid-size,black,automatic,gas,fwd,4,85386,excellent,clean,fl,ft myers / SW florida
1210134,2021-04-25T17:54:37-0700,ford,f-150,2000,truck,full-size,brown,automatic,gas,4wd,8,147000,fair,clean,wa,kennewick-pasco-richland
1119159,2021-04-14T10:36:53-0600,chevrolet,silverado,2004,truck,full-size,blue,automatic,gas,rwd,6,195299,fair,clean,tx,el paso
84468,2021-04-18T14:28:15-0700,gmc,yukon xl denali,2002,SUV,full-size,white,automatic,gas,4wd,8,236000,good,clean,ca,fresno / madera
631701,2021-05-01T12:23:01-0500,kia,soul plus,2014,wagon,mid-size,brown,automatic,gas,fwd,4,135113,good,clean,mn,bemidji
728958,2021-04-16T18:23:19-0400,toyota,sienna,2011,mini-van,full-size,red,automatic,gas,4wd,6,177000,like new,clean,nc,raleigh / durham / CH
1082493,2021-04-23T20:48:25-0500,ford,transit 150,2017,van,full-size,white,automatic,gas,rwd,6,108482,excellent,clean,tn,nashville
842619,2021-04-25T01:39:49-0400,gmc,2500 savana cargo,2014,van,full-size,white,automatic,gas,rwd,8,148091,excellent,clean,ny,syracuse
380628,2021-04-20T10:17:08-0400,dodge,charger daytona,2018,sedan,full-size,grey,automatic,gas,rwd,8,23700,excellent,clean,ga,savannah / hinesville
490935,2021-05-03T08:51:02-0500,ford,f-150 fx4,2014,truck,full-size,black,manual,gas,4wd,8,95000,excellent,clean,ia,waterloo / cedar falls
499977,2021-04-23T21:26:46-0500,ford,f350,2016,pickup,full-size,white,automatic,diesel,4wd,8,170388,excellent,clean,ks,"kansas city, MO"
794922,2021-04-16T11:40:13-0400,chevrolet,equinox lt,2015,SUV,full-size,grey,automatic,gas,4wd,4,127682,excellent,clean,ny,albany
55125,2021-04-06T14:39:08-0500,mazda,5,2010,mini-van,full-size,blue,automatic,gas,fwd,4,173000,excellent,rebuilt,ar,fayetteville
854223,2021-04-26T18:11:11-0400,ford,f150,2011,truck,full-size,grey,automatic,gas,4wd,8,132000,excellent,clean,nh,new hampshire
716118,2021-05-01T11:38:35-0400,ford,focus se,2013,sedan,mid-size,red,automatic,gas,fwd,4,148000,good,clean,nc,hickory / lenoir
470559,2021-04-29T20:06:09-0500,chevrolet,s10 pickup,2003,truck,full-size,red,automatic,gas,4wd,6,146128,good,rebuilt,ia,des moines
651762,2021-04-19T21:02:42-0500,ford,focus titanium sedan 4d,2013,sedan,mid-size,red,automatic,gas,fwd,4,102200,excellent,clean,mn,southwest MN
923208,2021-04-09T22:01:28-0500,chevrolet,equinox ltz,2015,SUV,mid-size,custom,automatic,gas,fwd,4,82000,like new,lien,ok,texoma
369123,2021-05-01T07:21:22-0400,mini,cooper,2009,hatchback,mid-size,black,automatic,gas,fwd,4,35000,excellent,clean,ga,atlanta
318294,2021-04-28T07:53:57-0400,chevrolet,c/k 1500,1997,truck,full-size,white,automatic,gas,4wd,8,300000,excellent,clean,fl,orlando
126603,2021-05-01T10:49:28-0700,volvo,s60,2012,sedan,compact,grey,automatic,gas,fwd,5,116000,good,clean,ca,orange county
689712,2021-05-03T19:01:50-0400,bmw,325e e30,1986,coupe,mid-size,blue,manual,gas,rwd,6,301000,excellent,clean,nc,asheville
1096062,2021-04-26T18:24:42-0500,chrysler,pacifica,2017,van,full-size,brown,automatic,gas,fwd,6,101000,like new,clean,tx,austin
588495,2021-05-04T11:32:13-0400,volkswagen,jetta tdi sportwagen,2011,wagon,full-size,white,automatic,diesel,fwd,4,61000,like new,clean,mi,detroit metro
641820,2021-05-04T11:53:35-0500,ford,f-350 xlt super duty,2008,truck,full-size,red,manual,gas,4wd,8,261002,excellent,clean,mn,minneapolis / st paul
1046331,2021-04-08T13:29:45-0400,chevrolet,silverado 1500,2014,truck,full-size,grey,automatic,gas,4wd,8,178000,good,clean,sc,greenville / upstate
809676,2021-05-03T09:19:03-0400,gmc,acadia,2012,SUV,full-size,black,automatic,gas,4wd,6,145000,like new,clean,ny,hudson valley
817524,2021-05-01T10:07:07-0400,ford,f350 super duty diesel,2004,pickup,full-size,white,automatic,diesel,4wd,8,245000,good,clean,ny,long island
500202,2021-04-23T16:01:56-0500,bmw,328i,2008,sedan,full-size,black,automatic,gas,rwd,6,86000,good,clean,ks,"kansas city, MO"
1174140,2021-04-10T18:52:45-0400,toyota,t100 4x4,1995,pickup,full-size,green,automatic,gas,4wd,6,200000,good,clean,va,fredericksburg
745326,2021-04-27T18:55:28-0700,ford,mustang,2001,coupe,mid-size,red,manual,gas,rwd,8,152000,excellent,clean,nv,las vegas
28368,2021-04-29T00:12:23-0700,ford,e-450 galvan universal,2015,bus,full-size,white,automatic,other,rwd,10,150371,excellent,clean,az,mohave county
